radio,mcc,mnc,lac,cid,psc,lon,lat,range,samples,changeable,created,updated,averagesignal
GSM,228,3,9008,28770,0,9.2233,46.4199,5020,192,1,1311685374,1692411826,0
GSM,228,3,9005,20265,0,8.3093,46.9756,4989,17,1,1316704503,1713378502,0
GSM,228,3,9008,28950,0,8.711,46.5148,31702,53,1,1319115833,1688703716,0
GSM,228,3,9008,28771,0,9.2302,46.4021,4308,177,1,1330183266,1692412072,0
GSM,228,1,20747,55649,0,6.7412,46.4427,16009,3,1,1358870632,1695474376,0
UMTS,228,1,4343,6908822,357,8.4488,47.3079,8276,112,1,1362643893,1684659905,0
UMTS,228,1,505,6916575,192,8.5034,47.4072,4358,103,1,1363294448,1722476344,0
LTE,228,1,3232,16812803,0,8.6311,47.4194,1000,50,1,1371222140,1714938806,0
UMTS,228,1,606,6976960,37,7.7716,47.3008,6448,102,1,1371340635,1685097697,0
UMTS,228,1,606,6976957,22,7.8357,47.3197,10227,126,1,1371375890,1685097459,0
UMTS,228,1,1616,7609658,407,8.5115,47.3859,1968,62,1,1371580463,1680000431,0
UMTS,228,1,3131,7615679,37,8.505,47.3819,1000,71,1,1371662727,1709750342,0
UMTS,228,1,1616,7629098,130,8.5404,47.3672,1225,100,1,1372424246,1691148322,0
LTE,228,1,303,17036290,0,8.4276,47.1803,5431,22,1,1372596580,1692847839,0
UMTS,228,1,606,16830466,0,7.9221,47.2937,5156,22,1,1372605781,1695572342,0
UMTS,228,1,3434,17001218,0,8.1309,47.3897,8011,52,1,1372753333,1722925381,0
UMTS,228,1,3434,17001219,0,8.109,47.3824,6119,75,1,1372757948,1722925322,0
UMTS,228,1,3939,16894209,0,8.6772,47.3792,1221,6,1,1373648057,1720867084,0
UMTS,228,1,1515,6852891,90,7.6456,47.5323,1138,24,1,1374053364,1714830071,0
UMTS,228,1,1616,7629696,121,8.519,47.3778,1000,32,1,1374179343,1703930830,0
UMTS,228,1,909,16964610,0,8.8323,47.2455,1597,103,1,1375305970,1720892823,0
UMTS,228,1,3131,7612599,276,8.4885,47.3755,953,100,1,1375639814,1726067949,0
UMTS,228,1,606,6993118,166,7.6124,47.2236,1614,102,1,1375713910,1714938799,0
UMTS,228,1,606,6993117,434,7.6349,47.2294,2921,102,1,1375714045,1714938799,0
