,radio,mcc,mnc,lac,cid,psc,lon,lat,range,samples,changeable,created,updated,averagesignal
127,LTE,228,1,4242,17030147,0,6.1348,46.2587,3036,48,1,2014-05-17 18:21:31,2024-05-05 19:56:55,0
145,LTE,228,1,1111,17033218,0,6.1171,46.1992,1000,3,1,2014-07-11 15:24:46,2024-06-16 12:21:03,0
174,UMTS,228,1,2727,7852354,16,6.1184,46.2133,1000,14,1,2014-08-22 22:12:24,2024-02-05 13:59:06,0
707,UMTS,228,1,1111,7303110,50,6.0516,46.2343,5535,78,1,2015-07-01 11:06:05,2024-08-03 10:45:15,0
708,UMTS,228,1,1111,7328596,204,6.0235,46.242,3091,113,1,2015-07-01 11:06:05,2024-08-03 10:45:15,0
709,UMTS,228,1,1111,7302818,26,6.0471,46.2358,1000,37,1,2015-07-02 19:40:13,2024-08-03 10:45:15,0
710,UMTS,228,1,1111,7303099,49,6.0524,46.2304,1000,53,1,2015-07-02 19:40:13,2024-02-05 13:23:23,0
731,LTE,228,2,42000,8965121,0,6.1488,46.2342,2556,64,1,2015-07-14 20:05:20,2024-06-23 23:07:15,0
732,LTE,228,2,42000,8965125,0,6.1477,46.2296,2496,48,1,2015-07-14 20:05:20,2024-02-06 20:47:10,0
743,UMTS,228,1,1111,7302755,25,6.0575,46.233,1000,17,1,2015-07-31 12:04:57,2024-08-03 10:45:15,0
744,UMTS,228,1,1111,7328076,82,6.0566,46.233,1069,33,1,2015-07-31 12:04:57,2024-08-03 10:45:15,0
760,LTE,228,2,42000,9113862,0,6.0168,46.2361,2703,58,1,2015-08-24 06:57:49,2024-08-03 10:45:09,0
761,LTE,228,2,42000,9113860,0,6.0362,46.2388,3515,17,1,2015-08-24 11:40:22,2024-08-03 10:45:09,0
762,LTE,228,2,42000,8965382,0,6.1169,46.2537,2603,81,1,2015-08-24 11:40:22,2024-04-01 10:17:03,0
765,LTE,228,2,42000,8970240,0,6.1113,46.2292,6499,24,1,2015-08-25 07:02:12,2024-08-03 10:45:08,0
766,LTE,228,2,42000,9127424,0,6.0755,46.2279,1445,9,1,2015-08-26 01:45:06,2024-02-06 20:47:11,0
767,LTE,228,2,42000,8987393,0,6.1231,46.2334,1000,38,1,2015-08-26 17:09:47,2024-04-01 10:17:03,0
769,LTE,228,2,42000,8971524,0,6.0633,46.2291,5321,6,1,2015-08-27 11:28:02,2024-02-06 20:47:11,0
770,LTE,228,2,42000,8965377,0,6.1223,46.2408,1377,45,1,2015-08-27 17:24:06,2024-04-01 10:17:03,0
