x,y,value
0,0,64.82025
0,1,66.15937
0,2,64.682396
0,3,64.56215
0,4,62.505424
0,5,60.726135
0,6,61.104862
0,7,61.691105
0,8,56.428303
0,9,50.452377
0,10,48.955868
0,11,51.268284
0,12,49.896282
0,13,48.13676
0,14,46.483696
0,15,43.30178
0,16,40.411243
0,17,31.297558
0,18,26.39204
0,19,23.970125
0,20,24.52121
0,21,26.222914
0,22,30.85751
0,23,31.37337
0,24,29.334185
0,25,35.934753
0,26,35.33623
0,27,37.762447
0,28,42.992493
0,29,48.101524
0,30,50.08565
0,31,50.782402
0,32,57.34948
0,33,56.068176
0,34,50.583927
0,35,46.943554
0,36,45.96813
0,37,48.339848
0,38,50.20772
0,39,52.25775
0,40,52.882828
0,41,51.70517
0,42,54.48084
0,43,56.621933
0,44,57.295715
0,45,62.732635
0,46,52.870815
0,47,46.204765
0,48,44.0395
0,49,46.318424
0,50,48.36199
0,51,45.337086
0,52,40.24419
0,53,38.131012
0,54,37.559364
0,55,39.067654
0,56,46.020214
0,57,47.400314
0,58,48.465103
0,59,50.427742
0,60,50.06221
0,61,51.615906
0,62,52.98354
0,63,57.32165
0,64,64.60012
0,65,67.536865
0,66,63.06042
0,67,57.434822
0,68,51.37361
0,69,43.58725
0,70,39.535976
0,71,38.586533
0,72,38.67663
0,73,37.939796
0,74,38.32693
0,75,43.175323
0,76,45.74744
0,77,47.52888
0,78,48.713593
0,79,48.553925
0,80,47.298874
0,81,44.68766
0,82,46.24253
0,83,49.443665
0,84,53.979755
0,85,59.228218
0,86,59.322773
0,87,58.775455
0,88,62.956474
0,89,71.25232
0,90,70.78179
0,91,67.316216
0,92,56.75382
0,93,48.359825
0,94,43.823402
0,95,42.53024
0,96,41.088512
0,97,43.316196
0,98,46.80683
0,99,48.196346
1,0,61.86806
1,1,65.677704
1,2,66.70177
1,3,66.57414
1,4,63.429348
1,5,64.098816
1,6,61.368793
1,7,59.81283
1,8,55.34454
1,9,52.112038
1,10,49.635693
1,11,53.255676
1,12,51.328957
1,13,49.703896
1,14,47.910492
1,15,41.565277
1,16,38.237362
1,17,31.11932
1,18,26.2919
1,19,22.215683
1,20,23.392244
1,21,24.628826
1,22,30.113108
1,23,30.989101
1,24,29.61973
1,25,35.14485
1,26,35.468266
1,27,39.340897
1,28,45.525448
1,29,50.120155
1,30,46.71207
1,31,48.383812
1,32,55.218876
1,33,53.86907
1,34,47.85067
1,35,44.246006
1,36,44.619667
1,37,44.890533
1,38,45.822323
1,39,48.47472
1,40,51.650845
1,41,51.541294
1,42,51.51135
1,43,54.107346
1,44,57.933933
1,45,59.88108
1,46,54.762333
1,47,47.844364
1,48,44.51807
1,49,45.305424
1,50,47.383217
1,51,45.824543
1,52,38.978622
1,53,37.784416
1,54,41.035225
1,55,38.86423
1,56,46.40222
1,57,50.654484
1,58,51.394035
1,59,49.560528
1,60,51.1828
1,61,50.362026
1,62,52.19418
1,63,56.46701
1,64,63.38716
1,65,65.39257
1,66,60.580166
1,67,52.825974
1,68,46.821613
1,69,40.997105
1,70,41.239605
1,71,36.048164
1,72,36.11089
1,73,35.980698
1,74,37.123318
1,75,41.50683
1,76,38.298443
1,77,41.742184
1,78,44.578552
1,79,45.999207
1,80,45.688778
1,81,43.62384
1,82,43.522003
1,83,46.286854
1,84,50.889404
1,85,54.38259
1,86,58.49568
1,87,58.32684
1,88,62.005104
1,89,69.78559
1,90,71.09711
1,91,64.89711
1,92,54.977108
1,93,47.318657
1,94,43.913208
1,95,42.008064
1,96,38.750656
1,97,39.338184
1,98,44.683163
1,99,50.52929
2,0,58.633877
2,1,62.61359
2,2,67.0049
2,3,67.915405
2,4,65.00952
2,5,68.08484
2,6,65.13826
2,7,62.577045
2,8,58.177258
2,9,55.667698
2,10,57.99337
2,11,53.864925
2,12,50.503494
2,13,48.045166
2,14,44.519585
2,15,41.236298
2,16,35.726887
2,17,31.454447
2,18,28.722528
2,19,25.442896
2,20,23.884117
2,21,26.72631
2,22,31.893074
2,23,32.133045
2,24,31.578789
2,25,35.247696
2,26,37.2931
2,27,40.36844
2,28,44.83526
2,29,46.55682
2,30,43.706127
2,31,46.533928
2,32,51.790947
2,33,50.59612
2,34,46.492737
2,35,46.60545
2,36,43.972298
2,37,42.877052
2,38,42.723083
2,39,44.15363
2,40,47.0745
2,41,49.33038
2,42,49.548027
2,43,52.31542
2,44,56.046795
2,45,58.797462
2,46,52.21172
2,47,46.63582
2,48,43.946167
2,49,44.313866
2,50,46.508945
2,51,45.894806
2,52,41.172173
2,53,39.785873
2,54,42.08082
2,55,45.40925
2,56,48.73866
2,57,53.76711
2,58,54.67669
2,59,50.49041
2,60,46.05647
2,61,46.076237
2,62,48.129524
2,63,52.463375
2,64,60.466946
2,65,63.40406
2,66,58.971607
2,67,50.264652
2,68,44.114677
2,69,37.863403
2,70,38.380997
2,71,33.83806
2,72,34.625156
2,73,33.93519
2,74,33.16321
2,75,33.41872
2,76,35.01719
2,77,35.524982
2,78,38.332306
2,79,44.17514
2,80,44.057056
2,81,42.01397
2,82,44.256035
2,83,46.201748
2,84,45.589355
2,85,46.878353
2,86,52.46444
2,87,56.664646
2,88,60.810776
2,89,65.488014
2,90,66.91007
2,91,65.90449
2,92,58.111042
2,93,49.929516
2,94,45.064793
2,95,43.019234
2,96,41.705486
2,97,40.209232
2,98,44.521038
2,99,50.238823
3,0,55.99261
3,1,59.480698
3,2,64.724884
3,3,66.94946
3,4,65.75401
3,5,69.84775
3,6,67.774155
3,7,65.12576
3,8,61.368362
3,9,59.792114
3,10,63.058617
3,11,56.67354
3,12,53.130276
3,13,49.84487
3,14,45.220135
3,15,42.42075
3,16,35.668327
3,17,32.311703
3,18,31.591908
3,19,30.851183
3,20,28.16323
3,21,30.507528
3,22,33.40039
3,23,32.411503
3,24,31.71249
3,25,33.34794
3,26,36.179047
3,27,38.136803
3,28,41.34109
3,29,42.40322
3,30,41.205345
3,31,44.08491
3,32,47.901897
3,33,47.409172
3,34,45.69371
3,35,48.841625
3,36,44.99962
3,37,43.836834
3,38,42.880604
3,39,42.778698
3,40,44.838326
3,41,48.39304
3,42,50.294422
3,43,53.730236
3,44,56.620495
3,45,57.827793
3,46,52.44966
3,47,46.46773
3,48,43.863926
3,49,44.82391
3,50,46.89787
3,51,47.510155
3,52,43.697773
3,53,42.171192
3,54,43.570866
3,55,48.78169
3,56,50.74184
3,57,54.377956
3,58,54.27062
3,59,49.543655
3,60,42.38044
3,61,43.628292
3,62,45.37072
3,63,49.454105
3,64,57.686966
3,65,61.136635
3,66,56.6944
3,67,49.00335
3,68,43.475525
3,69,37.251614
3,70,36.83385
3,71,34.959423
3,72,33.576687
3,73,31.772068
3,74,31.222004
3,75,29.072687
3,76,32.168953
3,77,31.660648
3,78,34.49231
3,79,41.359035
3,80,41.86039
3,81,40.160923
3,82,41.89496
3,83,43.40672
3,84,42.64788
3,85,42.643814
3,86,47.92832
3,87,54.24226
3,88,58.9779
3,89,62.557896
3,90,64.98553
3,91,65.0173
3,92,58.251686
3,93,50.712955
3,94,46.044777
3,95,44.129173
3,96,42.774757
3,97,40.751545
3,98,43.834435
3,99,48.14916
4,0,53.979553
4,1,56.437527
4,2,60.30263
4,3,64.189514
4,4,67.6184
4,5,72.46778
4,6,69.81561
4,7,64.436905
4,8,61.49489
4,9,62.90348
4,10,64.28771
4,11,61.438942
4,12,58.692177
4,13,55.014355
4,14,50.83371
4,15,46.3223
4,16,38.895214
4,17,33.74053
4,18,34.550415
