MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type,distance,distance_to_bains_des_paquis
e0:63:da:77:bf:2e,LSK-226319006695426,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 14:59:24,1,2412,-91,46.21117935,6.166790466,424.4143066,3.790092468,,,WIFI,0.023958583341250422,2.412269690251085
ee:63:da:b7:cb:fd,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 14:59:24,1,2412,-89,46.21117935,6.166790466,424.4143066,3.790092468,,,WIFI,0.023958583341250422,2.412269690251085
04:d9:f5:99:b7:78,dg61,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 14:59:24,100,5500,-93,46.21117935,6.166790466,424.4143066,3.790092468,,,WIFI,0.023958583341250422,2.412269690251085
be:d4:67:6c:3c:70,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 14:59:24,6,2437,-84,46.21117935,6.166790466,424.4143066,3.790092468,,,WIFI,0.023958583341250422,2.412269690251085
22803_46001_28931585,Salt Mobile SA,LTE;ch,2024-10-05 14:59:24,1601,1601,-113,46.21117935,6.166790466,424.4143066,3.790092468,,,GSM,0.023958583341250422,2.412269690251085
22803_46001_28931585,Salt Mobile SA,LTE;ch,2024-10-05 14:59:24,1601,1601,-88,46.21117935,6.166790466,424.4143066,3.790092468,,,GSM,0.023958583341250422,2.412269690251085
6c:99:61:0e:a7:d4,Teicherl,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:01:49,1,2412,-92,46.21013096,6.165739985,425.4301758,3.790092468,,,WIFI,0.0225445192080423,2.283507632756812
e2:06:2c:5b:a0:68,iPhone de Ruth,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],2024-10-05 15:01:49,44,5220,-88,46.21013096,6.165739985,425.4301758,3.790092468,,,WIFI,0.0225445192080423,2.283507632756812
ec:97:e0:35:b4:a8,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:01:49,13,2472,-88,46.21013096,6.165739985,425.4301758,3.790092468,,,WIFI,0.0225445192080423,2.283507632756812
22803_46001_28931585,Salt Mobile SA,LTE;ch,2024-10-05 15:01:49,1601,1601,-113,46.21013096,6.165739985,425.4301758,3.790092468,,,GSM,0.0225445192080423,2.283507632756812
22803_46001_28931585,Salt Mobile SA,LTE;ch,2024-10-05 15:01:49,1601,1601,-90,46.21013096,6.165739985,425.4301758,3.790092468,,,GSM,0.0225445192080423,2.283507632756812
00:05:fe:c6:d4:60,10-7430 TRC447584,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:01:54,5,2432,-89,46.21008892,6.16569335,424.5965576,3.790092468,,,WIFI,0.02248397253575915,2.2780739226799946
a0:b5:49:8c:79:e8,RSA_net,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:01:59,1,2412,-94,46.21005321,6.16566558,423.4922485,3.790092468,,,WIFI,0.02244313997729366,2.274256210477041
00:95:69:90:2e:df,nvrap,[ESS],2024-10-05 15:02:04,1,2412,-92,46.21002502,6.165634706,424.1763306,3.790092468,,,WIFI,0.02240291209880611,2.2706422576936776
00:05:fe:c6:d4:62,10-7430 TRC447586,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:02:04,8,2447,-93,46.21002502,6.165634706,424.1763306,3.790092468,,,WIFI,0.02240291209880611,2.2706422576936776
be:d4:67:6c:3c:70,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:02:04,6,2437,-80,46.21002502,6.165634706,424.1763306,3.790092468,,,WIFI,0.02240291209880611,2.2706422576936776
5e:e9:31:a0:73:6e,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:02:09,2,2417,-93,46.20998031,6.165601011,420.8884277,3.790092468,,,WIFI,0.022352785703758055,2.265940289850026
22803_46001_28931605,Salt Mobile SA,LTE;ch,2024-10-05 15:02:09,6400,6400,-113,46.20998031,6.165601011,420.8884277,3.790092468,,,GSM,0.022352785703758055,2.265940289850026
22803_46001_28931605,Salt Mobile SA,LTE;ch,2024-10-05 15:02:09,6400,6400,-91,46.20998031,6.165601011,420.8884277,3.790092468,,,GSM,0.022352785703758055,2.265940289850026
cc:d8:43:31:ad:6a,AGME_nuevo_plus,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],2024-10-05 15:02:14,1,2412,-89,46.20993523,6.165579584,421.0476074,3.790092468,,,WIFI,0.022313506491940506,2.2620486278154903
ec:f4:51:eb:13:14,tef-63175,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:02:14,1,2412,-89,46.20993523,6.165579584,421.0476074,3.790092468,,,WIFI,0.022313506491940506,2.2620486278154903
18:58:80:c3:8d:11,gwz-78345,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],2024-10-05 15:02:19,100,5500,-94,46.20988684,6.165531454,422.8701172,3.790092468,,,WIFI,0.02224887556124389,2.2561834778513603
32:85:2d:36:37:b5,Galaxy M31344E,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:02:24,11,2462,-93,46.20984911,6.16547657,424.0633545,3.790092468,,,WIFI,0.02218294396055121,2.2504425033599835
a0:b5:49:47:4f:d8,gwz-78345,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],2024-10-05 15:02:24,1,2412,-91,46.20984911,6.16547657,424.0633545,3.790092468,,,WIFI,0.02218294396055121,2.2504425033599835
f0:2f:74:13:34:00,Alb4H4ck0P_24,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:02:29,7,2442,-90,46.20980511,6.165435889,425.1955566,3.790092468,,,WIFI,0.0221269671336208,2.245322523071236
a0:b5:49:8c:79:e9,RSA_net-guest,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:02:29,1,2412,-92,46.20980511,6.165435889,425.1955566,3.790092468,,,WIFI,0.0221269671336208,2.245322523071236
ea:63:da:77:c2:b9,Public resto plage,[ESS],2024-10-05 15:02:34,1,2412,-93,46.20976267,6.165399047,426.1827393,3.790092468,,,WIFI,0.022075144113620885,2.2405490872305376
32:85:2d:36:37:b5,Galaxy M31344E,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:02:39,11,2462,-76,46.20972607,6.165352393,425.2844849,3.790092468,,,WIFI,0.022017117587716562,2.2354298703945865
32:85:2d:36:37:b5,Galaxy M31344E,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:02:44,11,2462,-63,46.20968388,6.165310758,424.6650391,3.790092468,,,WIFI,0.02196113641843079,2.2303514724446587
22803_46001_28928299,Salt Mobile SA,LTE;ch,2024-10-05 15:02:44,522,522,-113,46.20968388,6.165310758,424.6650391,3.790092468,,,GSM,0.02196113641843079,2.2303514724446587
